Rpeaks,type,sampling_rate
18,+,18
77,N,59
370,N,293
662,N,292
946,N,284
1231,N,285
1515,N,284
1809,N,294
2044,A,235
2402,N,358
2706,N,304
2998,N,292
3282,N,284
3560,N,278
3862,N,302
4170,N,308
4466,N,296
4764,N,298
5060,N,296
5346,N,286
5633,N,287
5918,N,285
6214,N,296
6527,N,313
6823,N,296
7106,N,283
7391,N,285
7670,N,279
7953,N,283
8245,N,292
8539,N,294
8837,N,298
9141,N,304
9431,N,290
9710,N,279
9998,N,288
10282,N,284
10591,N,309
10894,N,303
11191,N,297
11480,N,289
11781,N,301
12066,N,285
12350,N,284
12645,N,295
12949,N,304
13266,N,317
13562,N,296
13842,N,280
14131,N,289
14423,N,292
14710,N,287
15011,N,301
15310,N,299
15607,N,297
15899,N,292
16183,N,284
16464,N,281
16755,N,291
17058,N,303
17358,N,300
17657,N,299
17947,N,290
18227,N,280
18514,N,287
18795,N,281
19080,N,285
19388,N,308
19693,N,305
19989,N,296
20271,N,282
20554,N,283
20837,N,283
21131,N,294
21423,N,292
21729,N,306
22029,N,300
22321,N,292
22603,N,282
22881,N,278
23164,N,283
23453,N,289
23756,N,303
24053,N,297
24345,N,292
24625,N,280
24913,N,288
25197,N,284
25485,N,288
25779,N,294
26088,N,309
26387,N,299
26670,N,283
26952,N,282
27237,N,285
27536,N,299
27833,N,297
28132,N,299
28431,N,299
28727,N,296
29014,N,287
29294,N,280
29580,N,286
29873,N,293
30182,N,309
30487,N,305
30779,N,292
31065,N,286
31348,N,283
31635,N,287
31927,N,292
32224,N,297
32529,N,305
32836,N,307
33127,N,291
33403,N,276
33691,N,288
33980,N,289
34274,N,294
34575,N,301
34870,N,295
35168,N,298
35455,N,287
35736,N,281
36016,N,280
36309,N,293
36605,N,296
36916,N,311
37215,N,299
37499,N,284
37782,N,283
38071,N,289
38356,N,285
38651,N,295
38950,N,299
39252,N,302
39547,N,295
39825,N,278
40096,N,271
40382,N,286
40677,N,295
40970,N,293
41271,N,301
41567,N,296
41849,N,282
42117,N,268
42416,N,299
42697,N,281
42996,N,299
43307,N,311
43603,N,296
43892,N,289
44172,N,280
44455,N,283
44743,N,288
45030,N,287
45323,N,293
45628,N,305
45925,N,297
46204,N,279
46478,N,274
46759,N,281
47037,N,278
47334,N,297
47632,N,298
47919,N,287
48202,N,283
48486,N,284
48766,N,280
49040,N,274
49323,N,283
49618,N,295
49923,N,305
50214,N,291
50491,N,277
50771,N,280
51056,N,285
51339,N,283
51626,N,287
51921,N,295
52216,N,295
52506,N,290
52784,N,278
53063,N,279
53341,N,278
53631,N,290
53923,N,292
54219,N,296
54507,N,288
54784,N,277
55064,N,280
55343,N,279
55625,N,282
55908,N,283
56207,N,299
56502,N,295
56784,N,282
57055,N,271
57333,N,278
57615,N,282
57900,N,285
58192,N,292
58490,N,298
58788,N,298
59077,N,289
59354,N,277
59631,N,277
59919,N,288
60214,N,295
60515,N,301
60817,N,302
61105,N,288
61391,N,286
61680,N,289
