Rpeaks,type,sampling_rate
7,+,7
83,N,76
396,N,313
711,N,315
1032,N,321
1368,N,336
1712,N,344
2036,N,324
2349,N,313
2662,N,313
2972,N,310
3301,N,329
3631,N,330
3960,N,329
4283,N,323
4609,N,326
4928,N,319
5241,N,313
5569,N,328
5898,N,329
6223,N,325
6528,N,305
6830,N,302
7143,N,313
7463,N,320
7786,N,323
8105,N,319
8414,N,309
8721,N,307
9026,N,305
9321,N,295
9628,N,307
9953,N,325
10281,N,328
10590,N,309
10892,N,302
11185,N,293
11470,N,285
11760,N,290
12050,N,290
12338,N,288
12621,N,283
12911,N,290
13183,N,272
13457,N,274
13740,N,283
14030,N,290
14333,N,303
14640,N,307
14923,N,283
15195,N,272
15474,N,279
15760,N,286
16051,N,291
16351,N,300
16655,N,304
16956,N,301
17250,N,294
17532,N,282
17814,N,282
18099,N,285
18396,N,297
18687,N,291
18977,N,290
19267,N,290
19558,N,291
19860,N,302
20173,N,313
20493,N,320
20822,N,329
21166,N,344
21498,N,332
21808,N,310
22130,N,322
22451,N,321
22782,N,331
23126,N,344
23457,N,331
23774,N,317
24090,N,316
24404,N,314
24720,N,316
25040,N,320
25374,N,334
25704,N,330
26008,N,304
26310,N,302
26637,N,327
26967,N,330
27303,N,336
27621,N,318
27934,N,313
28243,N,309
28559,N,316
28861,N,302
29155,N,294
29467,N,312
29782,N,315
30088,N,306
30387,N,299
30688,N,301
30985,N,297
31310,N,325
31634,N,324
31947,N,313
32262,N,315
32565,N,303
32866,N,301
33165,N,299
33467,N,302
33777,N,310
34092,N,315
34391,N,299
34679,N,288
34980,N,301
35288,N,308
35598,N,310
35912,N,314
36217,N,305
36529,N,312
36837,N,308
37141,N,304
37450,N,309
37773,N,323
38099,N,326
38430,N,331
38748,N,318
39059,N,311
39376,N,317
39692,N,316
40013,N,321
40340,N,327
40603,~,263
40668,N,65
40884,|,216
40976,N,92
41265,N,289
41543,N,278
41829,N,286
41930,~,101
42126,N,196
42421,N,295
42714,N,293
42990,N,276
43268,N,278
43546,N,278
43816,N,270
44095,N,279
44387,N,292
44676,N,289
44977,N,301
45270,N,293
45553,N,283
45839,N,286
46138,N,299
46440,N,302
46750,N,310
47060,N,310
47359,N,299
47655,N,296
47944,N,289
48228,N,284
48517,N,289
48821,N,304
49125,N,304
49422,N,297
49699,N,277
49978,N,279
50248,N,270
50527,N,279
50816,N,289
51114,N,298
51400,N,286
51687,N,287
51965,N,278
52239,N,274
52512,N,273
52794,N,282
53087,N,293
53381,N,294
53667,N,286
53947,N,280
54221,N,274
54517,N,296
54814,N,297
55107,N,293
55405,N,298
55710,N,305
56011,N,301
56307,N,296
56607,N,300
56918,N,311
57252,N,334
57592,N,340
57928,N,336
58245,N,317
58542,N,297
58845,N,303
59166,N,321
59490,N,324
59822,N,332
60156,N,334
60477,N,321
60784,N,307
61089,N,305
61395,N,306
61727,N,332
62058,N,331
62359,N,301
62672,N,313
62994,N,322
63096,|,102
63315,N,219
63414,|,99
63631,N,217
63967,N,336
64292,N,325
64627,N,335
64929,N,302
65245,N,316
65576,N,331
65906,N,330
66225,N,319
66564,N,339
66890,N,326
67198,N,308
67510,N,312
67832,N,322
68164,N,332
68505,N,341
68830,N,325
69136,N,306
69446,N,310
69757,N,311
70082,N,325
70417,N,335
70752,N,335
71088,N,336
71400,N,312
71710,N,310
72021,N,311
72350,N,329
72680,N,330
73002,N,322
73307,N,305
73600,N,293
73912,N,312
74229,N,317
74556,N,327
74896,N,340
75213,N,317
75537,N,324
75854,N,317
76167,N,313
76493,N,326
76831,N,338
77161,N,330
77498,N,337
77827,N,329
78147,N,320
78474,N,327
78815,N,341
79159,N,344
79516,N,357
79853,N,337
80161,N,308
80464,N,303
80773,N,309
81107,N,334
81452,N,345
81790,N,338
82113,N,323
82443,N,330
82773,N,330
83107,N,334
83433,N,326
83777,N,344
84118,N,341
84427,N,309
84735,N,308
85072,N,337
85418,N,346
85752,N,334
86068,N,316
86372,N,304
86683,N,311
86992,N,309
87305,N,313
87654,N,349
88000,N,346
88338,N,338
88667,N,329
88999,N,332
89345,N,346
89699,N,354
90060,N,361
90399,N,339
90737,N,338
91069,N,332
91397,N,328
91743,N,346
92094,N,351
92448,N,354
92791,N,343
93131,N,340
93471,N,340
93817,N,346
94157,N,340
94517,N,360
94869,N,352
