Rpeaks,type,sampling_rate
68,+,68
136,/,68
410,/,274
697,/,287
989,/,292
1305,/,316
1614,/,309
1911,/,297
2201,/,290
2489,/,288
2781,/,292
3072,/,291
3373,/,301
3692,/,319
3998,/,306
4289,/,291
4579,/,290
4866,/,287
5164,/,298
5466,/,302
5768,/,302
6084,/,316
6380,/,296
6665,/,285
6951,/,286
7242,/,291
7549,/,307
7857,/,308
8159,/,302
8473,/,314
8763,/,290
9043,/,280
9333,/,290
9630,/,297
9940,/,310
10245,/,305
10543,/,298
10845,/,302
11152,/,307
11414,/,262
11710,/,296
12018,/,308
12330,/,312
12632,/,302
12926,/,294
13223,/,297
13511,/,288
13797,/,286
14098,/,301
14408,/,310
14718,/,310
15013,/,295
15301,/,288
15620,/,319
15890,/,270
16183,/,293
16492,/,309
16803,/,311
17108,/,305
17393,/,285
17680,/,287
17979,/,299
18274,/,295
18573,/,299
18879,/,306
19184,/,305
19480,/,296
19765,/,285
20055,/,290
20359,/,304
20663,/,304
20965,/,302
21268,/,303
21567,/,299
21857,/,290
22143,/,286
22434,/,291
22744,/,310
23050,/,306
23350,/,300
23647,/,297
23944,/,297
24234,/,290
24522,/,288
24825,/,303
25138,/,313
25441,/,303
25737,/,296
26024,/,287
26317,/,293
26607,/,290
26899,/,292
27245,/,346
27522,f,277
27821,f,299
28113,f,292
28407,f,294
28701,f,294
28990,f,289
29133,+,143
29276,N,143
29582,N,306
29880,N,298
30161,N,281
30440,N,279
30716,N,276
30999,N,283
31289,N,290
31586,N,297
31882,N,296
32180,N,298
32466,N,286
32734,N,268
33010,N,276
33297,N,287
33595,N,298
33883,N,288
34058,V,175
34216,+,158
34375,/,159
34667,/,292
34950,/,283
35238,/,288
35536,/,298
35848,/,312
36153,f,305
36452,f,299
36755,f,303
37043,f,288
37326,f,283
37637,f,311
37927,f,290
38240,f,313
38540,f,300
38682,+,142
38824,N,142
39116,N,292
39401,N,285
39683,N,282
39977,N,294
40280,N,303
40589,N,309
40880,N,291
41157,N,277
41449,f,292
41732,N,283
42014,N,282
42316,f,302
42616,N,300
42916,N,300
43203,N,287
43481,N,278
43767,N,286
44056,N,289
44351,N,295
44650,N,299
44945,N,295
45244,N,299
45521,N,277
45799,N,278
46088,N,289
46380,N,292
46679,N,299
46978,N,299
47268,N,290
47561,N,293
