Rpeaks,type,sampling_rate
21,+,21
265,N,244
575,N,310
876,N,301
1180,N,304
1482,N,302
1795,N,313
2127,N,332
2444,N,317
2744,N,300
3044,N,300
3347,N,303
3647,N,300
3954,N,307
4282,N,328
4609,N,327
4939,N,330
5255,N,316
5580,N,325
5892,N,312
6216,N,324
6553,N,337
6873,N,320
7178,N,305
7481,N,303
7781,N,300
8097,N,316
8417,N,320
8739,N,322
9060,N,321
9361,N,301
9663,N,302
9963,N,300
10279,N,316
10597,N,318
10910,N,313
11223,N,313
11520,N,297
11803,N,283
12097,N,294
12395,N,298
12698,N,303
13001,N,303
13300,N,299
13598,N,298
13886,N,288
14169,N,283
14461,N,292
14769,N,308
15082,N,313
15383,N,301
15683,N,300
15977,N,294
16269,N,292
16575,N,306
16886,N,311
17219,N,333
17536,N,317
17837,N,301
18146,N,309
18445,N,299
18739,N,294
19048,N,309
19366,N,318
19688,N,322
19990,N,302
20286,N,296
20593,N,307
20893,N,300
21200,N,307
21517,N,317
21837,N,320
22136,N,299
22423,N,287
22727,N,304
23026,N,299
23327,N,301
23639,N,312
23955,N,316
24268,N,313
24561,N,293
24860,N,299
25165,N,305
25465,N,300
25773,N,308
26082,N,309
26389,N,307
26684,N,295
26974,N,290
27272,N,298
27574,N,302
27874,N,300
28186,N,312
28491,N,305
28784,N,293
29064,N,280
29344,N,280
29650,N,306
29955,N,305
30259,N,304
30574,N,315
30880,N,306
31181,N,301
31478,N,297
31792,N,314
32116,N,324
32436,N,320
32758,N,322
33065,N,307
33374,N,309
33678,N,304
33980,N,302
34308,N,328
34629,N,321
34938,N,309
35239,N,301
35540,N,301
35846,N,306
36154,N,308
36476,N,322
36804,N,328
37115,N,311
37418,N,303
37718,N,300
38026,N,308
38332,N,306
38647,N,315
38974,N,327
39284,N,310
39578,N,294
39873,N,295
40178,N,305
40480,N,302
40788,N,308
41105,N,317
41413,N,308
41706,N,293
41996,N,290
42286,N,290
42591,N,305
42901,N,310
43203,N,302
43521,N,318
43827,N,306
44113,N,286
44404,N,291
44704,N,300
45014,N,310
45323,N,309
45629,N,306
45930,N,301
46216,N,286
46498,N,282
46784,N,286
47091,N,307
47390,N,299
47683,N,293
47978,N,295
48262,N,284
48541,N,279
48826,N,285
49114,N,288
49422,N,308
49728,N,306
50024,N,296
50325,N,301
50618,N,293
50907,N,289
51210,N,303
51519,N,309
51840,N,321
52148,N,308
52447,N,299
52750,N,303
53045,N,295
53336,N,291
53641,N,305
53952,N,311
54256,N,304
54550,N,294
54840,N,290
55126,N,286
55410,N,284
55706,N,296
56005,N,299
56304,N,299
56590,N,286
56864,N,274
57147,N,283
57439,N,292
57737,N,298
58053,N,316
58375,N,322
58702,N,327
59024,N,322
59343,N,319
59660,N,317
59977,N,317
60295,N,318
60623,N,328
60942,N,319
61245,N,303
61538,N,293
61847,N,309
62160,N,313
62473,N,313
62792,N,319
63106,N,314
63413,N,307
63710,N,297
64023,N,313
64356,N,333
64683,N,327
65013,N,330
65327,N,314
65639,N,312
65939,N,300
66239,N,300
66573,N,334
66896,N,323
67210,N,314
67524,N,314
67831,N,307
68136,N,305
68442,N,306
68772,N,330
69103,N,331
69427,N,324
69740,N,313
70052,N,312
70363,N,311
70678,N,315
71010,N,332
71345,N,335
71670,N,325
71981,N,311
72287,N,306
72598,N,311
72906,N,308
73228,N,322
73559,N,331
73867,N,308
74166,N,299
74460,N,294
74766,N,306
75071,N,305
75378,N,307
75703,N,325
76011,N,308
76299,N,288
76594,N,295
76891,N,297
77193,N,302
77501,N,308
77813,N,312
78125,N,312
78415,N,290
78698,N,283
78985,N,287
79289,N,304
79594,N,305
79896,N,302
80206,N,310
80506,N,300
80793,N,287
81086,N,293
81374,N,288
81688,N,314
81995,N,307
82292,N,297
82605,N,313
82903,N,298
83188,N,285
83484,N,296
83788,N,304
84103,N,315
84404,N,301
84699,N,295
84992,N,293
85274,N,282
85547,N,273
85835,N,288
86137,N,302
86440,N,303
86734,N,294
87024,N,290
87311,N,287
87591,N,280
87872,N,281
88166,N,294
88470,N,304
88769,N,299
89056,N,287
89340,N,284
89629,N,289
89907,N,278
90194,N,287
90496,N,302
90802,N,306
91103,N,301
91388,N,285
91674,N,286
91966,N,292
92252,N,286
92550,N,298
92851,N,301
93153,N,302
93440,N,287
93719,N,279
94004,N,285
94288,N,284
94575,N,287
94875,N,300
95165,N,290
95455,N,290
95722,N,267
95978,N,256
96237,N,259
96510,N,273
96790,N,280
97078,N,288
97376,N,298
97673,N,297
97970,N,297
98256,N,286
98556,N,300
98882,N,326
99189,N,307
99495,N,306
99805,N,310
100108,N,303
100402,N,294
100690,N,288
101003,N,313
101326,N,323
101642,N,316
101960,N,318
102272,N,312
102580,N,308
102884,N,304
103201,N,317
103527,N,326
103847,N,320
104165,N,318
104475,N,310
104790,N,315
105096,N,306
105415,N,319
105758,N,343
106083,N,325
106398,N,315
106705,N,307
107019,N,314
107335,N,316
107653,N,318
107993,N,340
108320,N,327
108619,N,299
108922,N,303
109229,N,307
109538,N,309
109848,N,310
110172,N,324
110489,N,317
110792,N,303
111089,N,297
111389,N,300
111705,N,316
112021,N,316
112340,N,319
112659,N,319
112961,N,302
113258,N,297
113558,N,300
113877,N,319
114203,N,326
114526,N,323
114859,N,333
115175,N,316
115477,N,302
115782,N,305
116095,N,313
116417,N,322
116735,N,318
117052,N,317
117358,N,306
117657,N,299
117961,N,304
118273,N,312
118597,N,324
118915,N,318
119229,N,314
119540,N,311
119838,N,298
120134,N,296
120438,N,304
120758,N,320
121076,N,318
121379,N,303
121679,N,300
121971,N,292
122260,N,289
122563,N,303
122874,N,311
123188,N,314
123491,N,303
123776,N,285
124073,N,297
124362,N,289
124646,N,284
124949,N,303
125256,N,307
125561,N,305
125854,N,293
126142,N,288
126445,N,303
126751,N,306
127062,N,311
127383,N,321
127713,N,330
128029,N,316
128327,N,298
128638,N,311
128950,N,312
129267,N,317
129586,N,319
129901,N,315
130209,N,308
130500,N,291
130793,N,293
131104,N,311
131410,N,306
131714,N,304
132027,N,313
132338,N,311
132630,N,292
132919,N,289
133217,N,298
133517,N,300
133808,N,291
134090,N,282
134368,N,278
134651,N,283
134932,N,281
135228,N,296
135556,N,328
135899,N,343
136231,N,332
136563,N,332
136895,N,332
137221,N,326
137542,N,321
137894,N,352
138233,N,339
138558,N,325
138874,N,316
139191,N,317
139506,N,315
139819,N,313
140155,N,336
140489,N,334
140806,N,317
141115,N,309
141425,N,310
141738,N,313
142049,N,311
142376,N,327
142701,N,325
143011,N,310
143313,N,302
143614,N,301
143920,N,306
144220,N,300
144529,N,309
144851,N,322
145157,N,306
145452,N,295
145742,N,290
146046,N,304
146359,N,313
146672,N,313
146994,N,322
147317,N,323
147619,N,302
147924,N,305
148232,N,308
148557,N,325
148879,N,322
149196,N,317
149525,N,329
149831,N,306
150129,N,298
150438,N,309
150763,N,325
151086,N,323
151399,N,313
151717,N,318
152015,N,298
152307,N,292
152600,N,293
152914,N,314
153244,N,330
153563,N,319
153881,N,318
154190,N,309
154492,N,302
154805,N,313
155124,N,319
155457,N,333
155777,N,320
156079,N,302
156391,N,312
156691,N,300
156989,N,298
157305,N,316
157632,N,327
157948,N,316
158251,N,303
158553,N,302
158848,N,295
159143,N,295
159458,N,315
159783,N,325
160112,N,329
160422,N,310
160733,N,311
161051,N,318
161365,N,314
161692,N,327
162023,N,331
162360,N,337
162676,N,316
162978,N,302
163292,N,314
163598,N,306
163906,N,308
164223,N,317
164535,N,312
164828,N,293
165118,N,290
165416,N,298
165720,N,304
166028,N,308
166345,N,317
166661,N,316
166965,N,304
167254,N,289
167547,N,293
167862,N,315
168174,N,312
168483,N,309
168792,N,309
169106,N,314
169409,N,303
169706,N,297
170022,N,316
170349,N,327
170665,N,316
170985,N,320
171291,N,306
171592,N,301
171887,N,295
172189,N,302
172519,N,330
172836,N,317
173143,N,307
173455,N,312
173764,N,309
174067,N,303
174370,N,303
174697,N,327
175014,N,317
175321,N,307
175620,N,299
175914,N,294
176212,N,298
176508,N,296
176818,N,310
177135,N,317
177443,N,308
177738,N,295
178027,N,289
178317,N,290
178608,N,291
178903,N,295
179213,N,310
179525,N,312
179820,N,295
180121,N,301
180425,N,304
180738,N,313
181058,N,320
181379,N,321
181713,N,334
182028,N,315
182325,N,297
182633,N,308
182948,N,315
183263,N,315
183579,N,316
183907,N,328
184210,N,303
184504,N,294
184805,N,301
185111,N,306
185434,N,323
185750,N,316
186062,N,312
186372,N,310
186668,N,296
186973,N,305
187281,N,308
187606,N,325
187927,N,321
188237,N,310
188551,N,314
188850,N,299
189142,N,292
189449,N,307
189770,N,321
190089,N,319
190403,N,314
190718,N,315
191025,N,307
191334,N,309
191650,N,316
191975,N,325
192316,N,341
192634,N,318
192942,N,308
193256,N,314
193567,N,311
193890,N,323
194221,N,331
194561,N,340
194885,N,324
195190,N,305
195515,N,325
195829,N,314
196152,N,323
196483,N,331
196816,N,333
197134,N,318
197437,N,303
197749,N,312
198061,N,312
198371,N,310
198694,N,323
199015,N,321
199322,N,307
199619,N,297
199922,N,303
200230,N,308
200549,N,319
200871,N,322
201187,N,316
201502,N,315
201800,N,298
202100,N,300
202422,N,322
202740,N,318
203061,N,321
203376,N,315
203688,N,312
203989,N,301
204277,N,288
204583,N,306
204904,N,321
205216,N,312
205527,N,311
205837,N,310
206145,N,308
206452,N,307
206764,N,312
207090,N,326
207406,N,316
207719,N,313
208022,N,303
208327,N,305
208619,N,292
208918,N,299
209242,N,324
209554,N,312
209855,N,301
210151,N,296
210440,N,289
210736,N,296
211030,N,294
211325,N,295
211636,N,311
211931,N,295
212213,N,282
212493,N,280
212775,N,282
213063,N,288
213358,N,295
213662,N,304
213973,N,311
214271,N,298
214561,N,290
214851,N,290
215152,N,301
215457,N,305
215766,N,309
216093,N,327
216405,N,312
216703,N,298
217000,N,297
217300,N,300
217618,N,318
217933,N,315
218254,N,321
218579,N,325
218876,N,297
219171,N,295
219471,N,300
219785,N,314
220099,N,314
220406,N,307
220728,N,322
221032,N,304
221318,N,286
221616,N,298
221928,N,312
222246,N,318
222560,N,314
222879,N,319
223184,N,305
223480,N,296
223780,N,300
224086,N,306
224414,N,328
224729,N,315
225036,N,307
225348,N,312
225642,N,294
225933,N,291
226235,N,302
226549,N,314
226860,N,311
227158,N,298
227451,N,293
227750,N,299
228034,N,284
228321,N,287
228630,N,309
228951,N,321
229266,N,315
229561,N,295
229862,N,301
230163,N,301
230458,N,295
230761,N,303
231070,N,309
231380,N,310
231674,N,294
231963,N,289
232264,N,301
232563,N,299
232874,N,311
233201,N,327
233525,N,324
233855,N,330
234152,N,297
234468,N,316
234783,N,315
235100,N,317
235422,N,322
235736,N,314
236048,N,312
236345,N,297
236643,N,298
236955,N,312
237267,N,312
237581,N,314
237894,N,313
238202,N,308
238493,N,291
238784,N,291
239097,N,313
239411,N,314
239722,N,311
240034,N,312
240344,N,310
240644,N,300
240938,N,294
241247,N,309
241570,N,323
241889,N,319
242210,N,321
242516,N,306
242818,N,302
243109,N,291
243403,N,294
243724,N,321
244040,N,316
244343,N,303
244650,N,307
244953,N,303
245256,N,303
245560,N,304
245881,N,321
246207,N,326
246520,N,313
246824,N,304
247122,N,298
247423,N,301
247719,N,296
248029,N,310
248360,N,331
248675,N,315
248979,N,304
249282,N,303
249595,N,313
249915,N,320
250236,N,321
250574,N,338
250901,N,327
251206,N,305
251508,N,302
251812,N,304
252128,N,316
252449,N,321
252777,N,328
253100,N,323
253404,N,304
253704,N,300
254009,N,305
254323,N,314
254637,N,314
254952,N,315
255274,N,322
255571,N,297
255865,N,294
256163,N,298
256478,N,315
256797,N,319
257116,N,319
257440,N,324
257749,N,309
258047,N,298
258359,N,312
258670,N,311
258996,N,326
259313,N,317
259622,N,309
259933,N,311
260229,N,296
260524,N,295
260835,N,311
261159,N,324
261476,N,317
261785,N,309
262095,N,310
262388,N,293
262680,N,292
262985,N,305
263303,N,318
263624,N,321
263928,N,304
264231,N,303
264536,N,305
264837,N,301
265147,N,310
265471,N,324
265804,N,333
266120,N,316
266419,N,299
266733,N,314
267034,N,301
267334,N,300
267649,N,315
267969,N,320
268281,N,312
268576,N,295
268872,N,296
269172,N,300
269468,N,296
269778,N,310
270094,N,316
270411,N,317
270704,N,293
270991,N,287
271297,N,306
271604,N,307
271912,N,308
272226,N,314
272540,N,314
272844,N,304
273137,N,293
273441,N,304
273756,N,315
274070,N,314
274396,N,326
274717,N,321
275032,N,315
275331,N,299
275630,N,299
275961,N,331
276292,N,331
276598,N,306
276904,N,306
277205,N,301
277490,N,285
277772,N,282
278078,N,306
278396,N,318
278716,N,320
279033,N,317
279342,N,309
279658,N,316
279967,N,309
280298,N,331
280637,N,339
280965,N,328
281292,N,327
281607,N,315
281925,N,318
282242,N,317
282568,N,326
282910,N,342
283232,N,322
283550,N,318
283863,N,313
284181,N,318
284495,N,314
284823,N,328
285162,N,339
285486,N,324
285793,N,307
286102,N,309
286421,N,319
286739,N,318
287063,N,324
287403,N,340
287720,N,317
288026,N,306
288332,N,306
288651,N,319
288977,N,326
289305,N,328
289644,N,339
289962,N,318
290263,N,301
290570,N,307
290877,N,307
291198,N,321
291520,N,322
291844,N,324
292163,N,319
292460,N,297
292763,N,303
293077,N,314
293407,N,330
293731,N,324
294049,N,318
294368,N,319
294667,N,299
294959,N,292
295262,N,303
295589,N,327
295907,N,318
296216,N,309
296533,N,317
296836,N,303
297132,N,296
297440,N,308
297758,N,318
298087,N,329
298407,N,320
298715,N,308
299026,N,311
299326,N,300
299642,N,316
299970,N,328
300302,N,332
300618,N,316
300924,N,306
301235,N,311
301537,N,302
301842,N,305
302165,N,323
302498,N,333
302813,N,315
303116,N,303
303434,N,318
303740,N,306
304051,N,311
304373,N,322
304704,N,331
305026,N,322
305330,N,304
305644,N,314
305964,N,320
306286,N,322
306622,N,336
306954,N,332
307281,N,327
307579,N,298
307882,N,303
308196,N,314
308511,N,315
308831,N,320
309151,N,320
309469,N,318
309769,N,300
310075,N,306
310399,N,324
310725,N,326
311052,N,327
311380,N,328
311703,N,323
312020,N,317
312326,N,306
312660,N,334
312986,N,326
313315,N,329
313661,N,346
313992,N,331
314315,N,323
314629,N,314
314969,N,340
315305,N,336
315631,N,326
315955,N,324
316272,N,317
316576,N,304
316895,N,319
317237,N,342
317574,N,337
317902,N,328
318221,N,319
318549,N,328
318869,N,320
319185,N,316
319527,N,342
319854,N,327
320172,N,318
320481,N,309
320796,N,315
321115,N,319
321437,N,322
321780,N,343
322111,N,331
322420,N,309
322730,N,310
323039,N,309
323354,N,315
323680,N,326
324020,N,340
324351,N,331
324657,N,306
324957,N,300
325262,N,305
325565,N,303
325860,N,295
326159,N,299
326465,N,306
326757,N,292
327043,N,286
327337,N,294
327650,N,313
327977,N,327
328298,N,321
328634,N,336
328957,N,323
329267,N,310
329581,N,314
329903,N,322
330241,N,338
330565,N,324
330883,N,318
331191,N,308
331477,N,286
331771,N,294
332077,N,306
332397,N,320
332717,N,320
333032,N,315
333352,N,320
333657,N,305
333961,N,304
334278,N,317
334612,N,334
334931,N,319
335231,N,300
335543,N,312
335842,N,299
336145,N,303
336463,N,318
336787,N,324
337119,N,332
337434,N,315
337743,N,309
338057,N,314
338367,N,310
338700,N,333
339032,N,332
339368,N,336
339698,N,330
340017,N,319
340348,N,331
340677,N,329
341013,N,336
341351,N,338
341689,N,338
342002,N,313
342323,N,321
342645,N,322
342973,N,328
343307,N,334
343638,N,331
343967,N,329
344277,N,310
344588,N,311
344902,N,314
345218,N,316
345547,N,329
345865,N,318
346181,N,316
346481,N,300
346778,N,297
347093,N,315
347417,N,324
347741,N,324
348076,N,335
348411,N,335
348733,N,322
349051,N,318
349391,N,340
349726,N,335
350058,N,332
350382,N,324
350698,N,316
351003,N,305
351305,N,302
351637,N,332
351959,N,322
352273,N,314
352584,N,311
352891,N,307
353193,N,302
353494,N,301
353814,N,320
354143,N,329
354464,N,321
354777,N,313
355080,N,303
355385,N,305
355690,N,305
356005,N,315
356337,N,332
356658,N,321
356969,N,311
357269,N,300
357583,N,314
357890,N,307
358205,N,315
358545,N,340
358864,N,319
359174,N,310
359477,N,303
359785,N,308
360099,N,314
360416,N,317
360752,N,336
361079,N,327
361394,N,315
361705,N,311
362015,N,310
362344,N,329
362671,N,327
363002,N,331
363333,N,331
363647,N,314
363957,N,310
364278,N,321
364608,N,330
364936,N,328
365272,N,336
365600,N,328
365905,N,305
366215,N,310
366534,N,319
366861,N,327
367179,N,318
367498,N,319
367811,N,313
368100,N,289
368394,N,294
368700,N,306
369021,N,321
369336,N,315
369647,N,311
369965,N,318
370266,N,301
370557,N,291
370862,N,305
371192,N,330
371520,N,328
371843,N,323
372164,N,321
372474,N,310
372774,N,300
373084,N,310
373405,N,321
373731,N,326
374038,N,307
374345,N,307
374653,N,308
374948,N,295
375253,N,305
375576,N,323
375901,N,325
376216,N,315
376519,N,303
376836,N,317
377141,N,305
377446,N,305
377772,N,326
378105,N,333
378423,N,318
378728,N,305
379042,N,314
379357,N,315
379673,N,316
380000,N,327
380329,N,329
380652,N,323
380953,N,301
381259,N,306
381567,N,308
381872,N,305
382194,N,322
382511,N,317
382829,N,318
383128,N,299
383420,N,292
383739,N,319
384058,N,319
384380,N,322
384707,N,327
385033,N,326
385345,N,312
385647,N,302
385966,N,319
386291,N,325
386608,N,317
386921,N,313
387232,N,311
387535,N,303
387831,N,296
388142,N,311
388468,N,326
388786,N,318
389112,N,326
389426,N,314
389738,N,312
390036,N,298
390342,N,306
390676,N,334
390994,N,318
391302,N,308
391603,N,301
391897,N,294
392193,N,296
392322,~,129
392477,N,155
392768,N,291
393055,N,287
393325,N,270
393583,N,258
393832,N,249
394080,N,248
394327,N,247
394566,N,239
394809,N,243
395066,N,257
395320,N,254
395437,~,117
395567,N,130
395804,N,237
396037,N,233
396273,N,236
396518,N,245
396761,N,243
397014,N,253
397286,N,272
397569,N,283
397845,N,276
398111,N,266
398385,N,274
398671,N,286
398968,N,297
399274,N,306
399588,N,314
399910,N,322
400218,N,308
400521,N,303
400829,N,308
401157,N,328
401487,N,330
401827,N,340
402164,N,337
402481,N,317
402803,N,322
403132,N,329
403475,N,343
403809,N,334
404150,N,341
404482,N,332
404792,N,310
405100,N,308
405404,N,304
405724,N,320
406044,N,320
406357,N,313
406685,N,328
406993,N,308
407303,N,310
407627,N,324
407954,N,327
408286,N,332
408614,N,328
408936,N,322
409229,N,293
409520,N,291
409830,N,310
410173,N,343
410497,N,324
410816,N,319
411140,N,324
411454,N,314
411755,N,301
412068,N,313
412402,N,334
412731,N,329
413022,N,291
413301,N,279
413367,~,66
413576,N,209
413836,N,260
414092,N,256
414360,N,268
414630,N,270
414903,N,273
415166,N,263
415421,N,255
415687,N,266
415951,N,264
416216,N,265
416500,N,284
416790,N,290
417092,N,302
417392,N,300
417689,N,297
417997,N,308
418275,A,278
418638,N,363
418976,N,338
419305,N,329
419627,N,322
419931,N,304
420249,N,318
420574,N,325
420894,N,320
421234,N,340
421564,N,330
421882,N,318
422192,N,310
422512,N,320
422843,N,331
423172,N,329
423513,N,341
423842,N,329
424160,N,318
424467,N,307
424779,N,312
425101,N,322
425420,N,319
425740,N,320
426054,N,314
426367,N,313
426677,N,310
426998,N,321
427345,N,347
427678,N,333
428020,N,342
428344,N,324
428666,N,322
428983,N,317
429316,N,333
429671,N,355
430000,N,329
430334,N,334
430653,N,319
430974,N,321
431287,N,313
431617,N,330
431958,N,341
432284,N,326
432586,N,302
432867,N,281
433139,N,272
433405,N,266
