Rpeaks,type,sampling_rate
47,+,47
95,/,48
272,/,177
569,/,297
884,/,315
1206,/,322
1519,/,313
1820,/,301
2118,/,298
2414,/,296
2721,/,307
3033,/,312
3347,/,314
3661,/,314
3971,/,310
4267,/,296
4560,/,293
4860,/,300
5170,/,310
5490,/,320
5804,/,314
6109,/,305
6407,/,298
6712,/,305
7013,/,301
7318,/,305
7633,/,315
7946,/,313
8254,/,308
8551,/,297
8845,/,294
9142,/,297
9462,/,320
9781,/,319
10090,/,309
10398,/,308
10694,/,296
10994,/,300
11295,/,301
11604,/,309
11918,/,314
12240,/,322
12546,/,306
12839,/,293
13135,/,296
13431,/,296
13747,/,316
14068,/,321
14383,/,315
14688,/,305
14991,/,303
15288,/,297
15583,/,295
15889,/,306
16205,/,316
16522,/,317
16834,/,312
17128,/,294
17421,/,293
17727,/,306
18039,/,312
18354,/,315
18668,/,314
18975,/,307
19276,/,301
19576,/,300
19872,/,296
20173,/,301
20494,/,321
20813,/,319
21120,/,307
21417,/,297
21715,/,298
22014,/,299
22328,/,314
22643,/,315
22956,/,313
23267,/,311
23571,/,304
23867,/,296
24161,/,294
24466,/,305
24779,/,313
25101,/,322
25411,/,310
25710,/,299
26005,/,295
26314,/,309
26621,/,307
26930,/,309
27245,/,315
27553,/,308
27854,/,301
28152,/,298
28450,/,298
28751,/,301
29075,/,324
29391,/,316
29698,/,307
30000,/,302
30295,/,295
30597,/,302
30907,/,310
31219,/,312
31530,/,311
31848,/,318
32111,V,263
32402,/,291
32696,/,294
33000,/,304
33315,/,315
33637,/,322
33949,/,312
34249,/,300
34547,/,298
34850,/,303
35154,/,304
35462,/,308
35778,/,316
36091,/,313
36398,/,307
36692,/,294
36985,/,293
37289,/,304
37612,/,323
37930,/,318
38240,/,310
38545,/,305
38838,/,293
39137,/,299
39437,/,300
39747,/,310
40064,/,317
40386,/,322
40689,/,303
40982,/,293
41277,/,295
41578,/,301
41896,/,318
42215,/,319
42528,/,313
42831,/,303
43134,/,303
43430,/,296
43726,/,296
44036,/,310
44351,/,315
44668,/,317
44976,/,308
45273,/,297
45567,/,294
45877,/,310
46191,/,314
46502,/,311
46812,/,310
47116,/,304
47416,/,300
47714,/,298
48013,/,299
48320,/,307
48646,/,326
48959,/,313
49260,/,301
49559,/,299
49855,/,296
50158,/,303
50472,/,314
50787,/,315
51098,/,311
51412,/,314
51708,/,296
52001,/,293
52298,/,297
52605,/,307
52926,/,321
53248,/,322
53554,/,306
53847,/,293
54150,/,303
54451,/,301
54759,/,308
55071,/,312
55386,/,315
55695,/,309
55998,/,303
56291,/,293
56584,/,293
56897,/,313
57219,/,322
57535,/,316
57840,/,305
58141,/,301
58437,/,296
58739,/,302
59045,/,306
59355,/,310
59674,/,319
59988,/,314
60285,/,297
60577,/,292
60876,/,299
61182,/,306
61503,/,321
61819,/,316
62129,/,310
62428,/,299
62731,/,303
63030,/,299
63330,/,300
63644,/,314
63958,/,314
64271,/,313
64573,/,302
64868,/,295
65163,/,295
65478,/,315
65796,/,318
66107,/,311
66417,/,310
66716,/,299
67013,/,297
67315,/,302
67620,/,305
67928,/,308
68250,/,322
68562,/,312
68861,/,299
69154,/,293
69454,/,300
69763,/,309
70084,/,321
70397,/,313
70705,/,308
71008,/,303
71307,/,299
71605,/,298
71905,/,300
72221,/,316
72536,/,315
72852,/,316
73153,/,301
73447,/,294
73746,/,299
74059,/,313
74374,/,315
74685,/,311
74999,/,314
75298,/,299
75597,/,299
75892,/,295
76192,/,300
76506,/,314
76833,/,327
77145,/,312
77445,/,300
77741,/,296
78035,/,294
78343,/,308
78655,/,312
78967,/,312
79281,/,314
79592,/,311
79886,/,294
80177,/,291
80479,/,302
80790,/,311
81112,/,322
81428,/,316
81733,/,305
82028,/,295
82331,/,303
82633,/,302
82940,/,307
83256,/,316
83566,/,310
83874,/,308
84174,/,300
84469,/,295
84766,/,297
85088,/,322
85407,/,319
85715,/,308
86020,/,305
86314,/,294
86613,/,299
86917,/,304
87227,/,310
87538,/,311
87860,/,322
88163,/,303
88456,/,293
88752,/,296
89052,/,300
89368,/,316
89690,/,322
90004,/,314
90305,/,301
90606,/,301
90903,/,297
91201,/,298
91508,/,307
91824,/,316
92142,/,318
92453,/,311
92750,/,297
93041,/,291
93347,/,306
93591,V,244
93931,/,340
94240,/,309
94550,/,310
94848,/,298
95147,/,299
95442,/,295
95744,/,302
96062,/,318
96386,/,324
96696,/,310
96991,/,295
97288,/,297
97586,/,298
97896,/,310
98211,/,315
98525,/,314
98833,/,308
99140,/,307
99435,/,295
99728,/,293
100032,/,304
100346,/,314
100668,/,322
100980,/,312
101282,/,302
101575,/,293
101882,/,307
102187,/,305
102498,/,311
102811,/,313
103122,/,311
103424,/,302
103726,/,302
104022,/,296
104321,/,299
104643,/,322
104962,/,319
105273,/,311
